City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,ancud,-41.8697,-73.8203,8.55,71,70,4.44,CL,1692378935
172,kyzyl,51.7,94.45,13.35,61,81,2.42,RU,1692379120
173,minden,52.2833,8.9167,29.12,56,30,2.06,DE,1692379120
174,salinopolis,-0.6136,-47.3561,29.69,66,69,7.11,BR,1692379082
175,moose jaw,50.4001,-105.5344,30.15,20,75,10.29,CA,1692379120
176,el granada,37.5027,-122.4694,24.45,75,100,4.12,US,1692379120
177,murzuq,25.9155,13.9184,38.7,13,16,3.88,LY,1692379105
178,porto novo,6.4965,2.6036,24.9,85,99,4.55,BJ,1692379113
179,longyearbyen,78.2186,15.6401,5.91,81,75,6.69,SJ,1692379121
180,otjimbingwe,-22.35,16.1333,23.03,17,3,5.38,NA,1692379121
181,wanxian,30.8039,108.3897,28.0,78,72,0.83,CN,1692379121
182,vorgashor,67.5833,63.95,14.87,97,95,4.42,RU,1692379121
183,saint-remy,46.7633,4.8393,31.21,24,72,1.8,FR,1692379122
184,bardai,11.65,7.2333,26.36,75,71,2.14,NG,1692379122
185,gaigeturi,33.4644,126.3183,26.03,94,75,1.54,KR,1692379122
186,trujillo,-8.116,-79.03,22.58,72,83,3.97,PE,1692379122
187,chake chake,-5.2459,39.7666,23.39,81,59,3.97,TZ,1692379122
188,alaior,39.9303,4.1404,28.86,79,40,3.09,ES,1692379122
189,oban,56.4127,-5.4706,18.54,75,100,5.06,GB,1692379123
190,port elizabeth,-33.918,25.5701,15.16,72,0,8.75,ZA,1692379123
191,avarua,-21.2078,-159.775,23.03,94,100,1.54,CK,1692379123
192,labuan,5.2767,115.2417,25.2,88,20,0.0,MY,1692379123
193,aral,40.5156,81.2636,30.54,19,71,0.45,CN,1692378955
194,college,64.8569,-147.8028,11.97,84,100,2.57,US,1692379124
195,fort mcmurray,56.7268,-111.381,14.77,82,100,6.17,CA,1692379124
196,caglayancerit,37.7496,37.2962,29.11,20,1,4.05,TR,1692379124
197,uturoa,-16.7333,-151.4333,25.23,71,15,10.08,PF,1692379124
198,nova sintra,14.8667,-24.7167,24.3,81,99,2.81,CV,1692379124
199,dryden,49.7833,-92.7503,22.16,49,0,7.72,CA,1692379124
200,atafu village,-8.5421,-172.5159,27.99,81,96,7.41,TK,1692379125
201,ketchikan,55.3422,-131.6461,14.26,82,100,4.63,US,1692379125
202,noshiro,40.2039,140.0242,24.7,93,17,1.66,JP,1692378939
203,saipan,15.1355,145.701,27.58,100,20,2.57,MP,1692378847
204,banda aceh,5.5577,95.3222,26.54,80,30,2.91,ID,1692379113
205,west island,-12.1568,96.8225,23.99,78,75,10.29,CC,1692379126
206,luderitz,-26.6481,15.1594,14.99,67,100,4.15,NA,1692379126
207,kodiak,57.79,-152.4072,9.73,81,0,0.0,US,1692379126
208,morehead city,34.7229,-76.726,33.33,66,0,6.17,US,1692379126
209,pelabuhanratu,-6.9875,106.5514,22.82,83,53,1.96,ID,1692379113
210,port lavaca,28.615,-96.6261,36.75,61,40,4.12,US,1692379126
211,hithadhoo,-0.6,73.0833,28.5,68,18,5.88,MV,1692379127
212,teruel,40.6667,-0.6667,29.45,20,85,2.06,ES,1692379127
213,tomatlan,19.9333,-105.25,31.41,52,100,2.43,MX,1692379127
214,udachny,66.4167,112.4,10.25,81,10,6.95,RU,1692379127
215,barroso,-21.1869,-43.9758,26.1,29,0,3.78,BR,1692379025
216,changwon,35.2281,128.6811,23.93,96,27,1.17,KR,1692378490
217,al bayda,32.7627,21.7551,22.23,78,0,6.02,LY,1692379127
218,colchani,-20.3,-66.9333,9.08,15,0,8.21,BO,1692379127
